filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_2048_3072.png,"[8, 1, 16]",[-0.69323495 -0.99701063 -1.15997166]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_18432_19456.png,"[8, 1, 16]",[-0.69246829 -0.95400435 -1.1951252 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_21504_22528.png,"[8, 1, 16]",[-0.66959712 -0.98271624 -1.20002392]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_18432_19456.png,"[8, 1, 16]",[-0.6529672  -0.9527253  -1.18583929]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_26624_27648.png,"[8, 1, 16]",[-0.67681265 -0.91717481 -1.19314226]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_10240_11264.png,"[8, 1, 16]",[-0.70292771 -0.98027032 -1.14084682]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_23552_24576.png,"[8, 1, 16]",[-0.70682919 -0.93148659 -1.1877017 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_22528_23552.png,"[8, 1, 16]",[-0.64541763 -0.96755788 -1.19907645]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_17408_18432.png,"[8, 1, 16]",[-0.67464204 -1.00004971 -1.1834428 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_8192_9216.png,"[8, 1, 16]",[-0.67510456 -0.96477542 -1.14232687]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_7168_8192.png,"[8, 1, 12]",[-0.709416   -0.96981893 -1.14175069]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_10240_11264.png,"[8, 1, 16]",[-0.67699809 -0.95409396 -1.17451955]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_16384_17408.png,"[8, 1, 16]",[-0.66278827 -0.97645791 -1.16333502]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_29696_30720.png,"[8, 1, 16]",[-0.69294638 -0.96065459 -1.17352505]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_25600_26624.png,"[8, 1, 16]",[-0.69314129 -0.93943489 -1.18290771]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_15360_16384.png,"[8, 1, 16]",[-0.68739417 -0.97592468 -1.19429008]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_26624_27648.png,"[8, 1, 16]",[-0.67457351 -0.88714182 -1.19096403]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_22528_23552.png,"[8, 1, 16]",[-0.65806074 -0.9550861  -1.18382776]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_15360_16384.png,"[8, 1, 12]",[-0.67791086 -0.97809355 -1.12991919]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_6144_7168.png,"[8, 1, 16]",[-0.69238924 -0.91382041 -1.14737631]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_4096_5120.png,"[8, 1, 16]",[-0.69222804 -0.96208078 -1.15371235]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_23552_24576.png,"[8, 1, 12]",[-0.69744923 -0.95430493 -1.20081257]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_4096_5120.png,"[8, 1, 12]",[-0.68767727 -0.95560969 -1.18501221]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_9216_10240.png,"[8, 1, 16]",[-0.63409032 -0.95798479 -1.15549115]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_32768_33792.png,"[8, 1, 16]",[-0.68130674 -0.95167318 -1.20339151]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_6144_7168.png,"[8, 1, 16]",[-0.69555797 -0.98474724 -1.15676711]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_10240_11264.png,"[8, 1, 16]",[-0.6701528  -0.94818395 -1.1783584 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_10240_11264.png,"[8, 1, 16]",[-0.69095171 -0.97154881 -1.15223179]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_20480_21504.png,"[8, 1, 12]",[-0.71180485 -0.9885004  -1.16548433]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_31744_32768.png,"[8, 1, 16]",[-0.68283195 -0.97096075 -1.18703772]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_29696_30720.png,"[8, 1, 16]",[-0.66004804 -0.9350637  -1.18485635]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_8192_9216.png,"[8, 1, 16]",[-0.69012601 -0.95237732 -1.15364978]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_26624_27648.png,"[8, 1, 12]",[-0.68637556 -0.93979565 -1.17919218]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_25600_26624.png,"[8, 1, 16]",[-0.71558266 -0.92156864 -1.20872696]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_26624_27648.png,"[8, 1, 16]",[-0.68062829 -0.90542373 -1.1914765 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_16384_17408.png,"[8, 1, 12]",[-0.70251764 -0.98093483 -1.18107658]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_20480_21504.png,"[8, 1, 16]",[-0.66827424 -0.98037547 -1.19769465]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_7168_8192.png,"[8, 1, 12]",[-0.68802388 -0.97874378 -1.17497174]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_30720_31744.png,"[8, 1, 16]",[-0.65870368 -0.96902569 -1.22012795]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_22528_23552.png,"[8, 1, 16]",[-0.69942406 -0.95302046 -1.18119491]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_3072_4096.png,"[8, 1, 16]",[-0.71040362 -0.98773563 -1.14775772]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_17408_18432.png,"[8, 1, 16]",[-0.69950132 -0.98975756 -1.18235932]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_20480_21504.png,"[8, 1, 16]",[-0.70660468 -0.94388893 -1.19144617]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_19456_20480.png,"[8, 1, 12]",[-0.65763533 -0.96165077 -1.18387199]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_27648_28672.png,"[8, 1, 16]",[-0.68277694 -0.9088365  -1.19020774]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_17408_18432.png,"[8, 1, 12]",[-0.65426027 -0.95095693 -1.16533589]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_14336_15360.png,"[8, 1, 12]",[-0.67183481 -0.9632506  -1.15804099]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_7168_8192.png,"[8, 1, 16]",[-0.69785916 -0.98845001 -1.14526918]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_7168_8192.png,"[8, 1, 16]",[-0.67108645 -0.94763827 -1.15245191]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_17408_18432.png,"[8, 1, 12]",[-0.70083914 -0.96792782 -1.16905191]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_17408_18432.png,"[8, 1, 16]",[-0.65338386 -0.97317693 -1.16671194]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_7168_8192.png,"[8, 1, 16]",[-0.692351   -0.9655084  -1.13791729]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_19456_20480.png,"[8, 1, 16]",[-0.64650505 -0.97555228 -1.18210735]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_22528_23552.png,"[8, 1, 16]",[-0.72395071 -0.98390838 -1.20328565]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_11264_12288.png,"[8, 1, 16]",[-0.69453416 -0.97209606 -1.18709947]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_32768_33792.png,"[8, 1, 16]",[-0.67961896 -0.9426861  -1.18841883]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_31744_32768.png,"[8, 1, 16]",[-0.67261091 -0.9252813  -1.18179617]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_29696_30720.png,"[8, 1, 16]",[-0.68263292 -0.94122758 -1.21391388]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_32768_33792.png,"[8, 1, 16]",[-0.65969098 -0.96114891 -1.18441899]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_9216_10240.png,"[8, 1, 16]",[-0.64808199 -0.96192497 -1.15934201]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_24576_25600.png,"[8, 1, 16]",[-0.70481316 -0.91967664 -1.2017728 ]
