filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_25600_26624.png,"[8, 1, 16]",[-0.6931277  -0.93942094 -1.18290358]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_15360_16384.png,"[8, 1, 16]",[-0.68738674 -0.97591128 -1.19428236]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_26624_27648.png,"[8, 1, 16]",[-0.67456183 -0.88712243 -1.19095809]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_22528_23552.png,"[8, 1, 16]",[-0.65805211 -0.95507588 -1.18381241]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_15360_16384.png,"[8, 1, 12]",[-0.67790342 -0.97808102 -1.12999937]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_6144_7168.png,"[8, 1, 16]",[-0.69238027 -0.91381156 -1.14736653]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_4096_5120.png,"[8, 1, 16]",[-0.69221937 -0.96207563 -1.15370414]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_23552_24576.png,"[8, 1, 12]",[-0.69744074 -0.95429237 -1.20089068]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_4096_5120.png,"[8, 1, 12]",[-0.68766938 -0.95560208 -1.18509482]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_9216_10240.png,"[8, 1, 16]",[-0.63408392 -0.95798192 -1.15547992]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_32768_33792.png,"[8, 1, 16]",[-0.68130011 -0.95165927 -1.20338429]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_6144_7168.png,"[8, 1, 16]",[-0.69554808 -0.98473264 -1.15675466]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_10240_11264.png,"[8, 1, 16]",[-0.67014866 -0.94816877 -1.17834506]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_10240_11264.png,"[8, 1, 16]",[-0.69094697 -0.97153438 -1.15222115]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_20480_21504.png,"[8, 1, 12]",[-0.71180212 -0.98849161 -1.16557474]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_31744_32768.png,"[8, 1, 16]",[-0.68282931 -0.97095059 -1.18702695]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_29696_30720.png,"[8, 1, 16]",[-0.66003271 -0.93504808 -1.1848487 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_8192_9216.png,"[8, 1, 16]",[-0.69011648 -0.95236759 -1.153639  ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_26624_27648.png,"[8, 1, 12]",[-0.68636217 -0.93978913 -1.17927647]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_25600_26624.png,"[8, 1, 16]",[-0.71556884 -0.92155367 -1.20871578]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_26624_27648.png,"[8, 1, 16]",[-0.68061771 -0.90541433 -1.19147161]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_16384_17408.png,"[8, 1, 12]",[-0.70250885 -0.98091764 -1.18115955]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_20480_21504.png,"[8, 1, 16]",[-0.66827018 -0.98037048 -1.19767819]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_7168_8192.png,"[8, 1, 12]",[-0.68801308 -0.97873409 -1.17506085]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_30720_31744.png,"[8, 1, 16]",[-0.65869529 -0.96902277 -1.2201175 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_22528_23552.png,"[8, 1, 16]",[-0.69940981 -0.95301145 -1.18119025]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_3072_4096.png,"[8, 1, 16]",[-0.71039602 -0.9877223  -1.14774348]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_17408_18432.png,"[8, 1, 16]",[-0.69948569 -0.98975097 -1.18234779]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_20480_21504.png,"[8, 1, 16]",[-0.70659316 -0.94387831 -1.19143724]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_19456_20480.png,"[8, 1, 12]",[-0.65762869 -0.96163776 -1.18395798]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_27648_28672.png,"[8, 1, 16]",[-0.68276563 -0.90882314 -1.19020414]
